Runoff(m3/s)
1.47
1.53
1.61
2.07
1.76
1.78
1.93
2.01
1.9
1.64
1.47
1.93
1.76
1.84
1.76
1.47
1.42
1.42
1.53
1.7
1.59
1.47
1.53
1.44
0.99
1.47
1.3
1.33
1.33
1.3
1.19
0.99
1.16
1.25
1.25
1.1
1.1
1.16
0.93
1.02
0.96
0.99
1.22
1.02
0.96
0.79
0.96
0.85
0
1.1
1.08
1.1
1.19
0.88
1.47
0.91
1.19
0.99
1.36
1.25
1.05
0.88
1.44
1.19
1.13
1.1
1.05
0.57
1.16
1.13
1.19
1.16
1.08
0.96
0.65
1.08
1.27
1.1
1.13
1.13
1.36
2.15
2.55
2.41
2.01
1.7
2.52
2.29
2.15
2.61
2.15
2.24
1.59
1.7
1.47
1.22
1.81
1.5
1.5
1.19
1.56
1.44
1.33
2.04
1.7
1.73
1.64
1.64
1.53
1.33
0
1.42
1.42
1.67
1.56
1.73
1.56
1.36
1.53
1.61
1.47
1.33
1.44
1.42
2.44
3.43
3.31
3.14
2.69
2.41
2.07
1.47
1.98
1.76
2.55
2.8
3.2
2.8
2.66
2.69
2.35
2.21
2.21
2.55
2.75
3.37
3.31
2.97
2.66
2.35
2.12
2.01
1.93
2.12
1.9
2.01
2.15
2.21
1.84
1.98
2.29
3.99
4.05
4.13
3.43
3.26
3.11
2.97
2.97
3.11
3.11
2.69
2.83
5.38
5.95
5.66
4.81
4.25
3.88
5.58
8.75
8.69
9.06
8.3
6.82
5.72
5.15
5.1
4.87
9.66
11.86
13.42
11.24
8.61
7.5
7.25
6.57
6.37
6.14
5.89
5.72
0
0
0
5.61
5.61
7.39
9.68
10.93
11.55
11.24
10.62
12.18
14.41
15.4
15.4
13.76
12.8
13.76
13.76
14.72
15.06
14.72
13.76
12.49
14.72
16.03
17.02
16.03
14.1
12.8
11.86
10.93
10.93
10.62
10.31
10
9.68
9.06
8.75
8.3
7.96
7.59
7.31
7.25
7.45
7.31
7.25
7.05
6.77
6.63
6.48
6.29
6.09
5.95
5.89
5.8
5.66
5.38
5.24
5.04
4.87
4.76
4.67
4.33
0
4.28
4.28
4.13
4.05
3.99
4.05
4.19
5.15
5.24
5.15
4.87
4.62
3.94
4.05
3.79
3.68
3.88
3.79
3.94
3.88
3.68
3.48
3.68
3.26
3.37
3.26
3.03
3.03
2.92
2.69
2.66
2.66
2.75
2.86
2.8
2.97
2.97
2.75
2.92
2.69
2.66
2.44
2.29
2.24
2.21
2.29
2.15
2.01
2.35
2.12
2.07
2.15
2.29
2.24
2.21
2.24
1.9
1.84
1.9
2.01
2.01
0
1.9
1.93
3.43
3.68
3.68
3.68
3.2
2.61
2.29
2.01
2.41
2.8
2.07
2.35
2.24
2.21
2.41
2.41
2.21
2.07
2.07
1.98
1.9
1.61
1.84
1.47
1.9
2.12
1.9
1.44
1.56
1.42
1.27
1.67
1.47
1.44
1.27
1.27
1.27
1.19
2.04
2.21
2.38
2.15
3.88
4.28
4.53
4.62
5.95
5.52
5.04
4.81
3.99
3.37
3.48
2.97
2.41
2.41
2.21
2.35
1.67
2.24
1.9
1.61
1.98
1.81
1.56
1.22
1.39
1.84
1.73
1.93
2.01
1.7
1.84
2.21
1.87
1.67
1.61
1.56
1.39
1.22
1.76
1.64
1.64
1.47
1.3
1.25
1.27
1.78
1.76
1.7
0
1.64
1.44
1.13
1.22
1.76
1.76
1.81
1.59
1.7
1.33
1.16
1.39
1.81
1.36
1.36
1.39
1.1
2.01
2.66
2.29
2.55
3.31
3.6
3.34
3.57
3.26
2.97
2.66
2.58
2.29
2.01
2.35
2.92
2.86
2.86
2.49
2.44
2.32
2.12
2.52
2.38
2.8
2.92
3.17
2.78
2.86
3.03
2.55
2.66
2.46
2.46
2.12
2.35
2.63
2.72
3.68
4.81
5.44
5.72
5.52
6.43
0
6.48
8.98
10.19
11.1
10.82
9.91
8.98
8.35
7.67
7.28
7.08
6.97
6.77
6.23
6.29
6.14
5.66
5.61
5.52
5.15
4.87
4.76
5.04
5.52
5.8
6.09
5.95
6.48
7.99
10.65
14.78
16.08
15.74
13.85
12.29
10.82
9.29
8.67
8.04
7.62
7.08
6.77
6.63
6.48
6.23
6.23
6.37
6.43
6.77
7.99
7.45
7.53
7.08
6.37
6.09
6.09
6.29
6.09
5.8
5.15
5.52
5.66
5.8
6
5.89
6.29
8.35
9.29
12.01
12.6
12.01
10.82
10.82
11.38
11.38
11.69
9.91
8.67
7.79
7.28
7.22
7.42
7.99
8.67
8.98
9.29
9.6
9.29
8.98
8.35
0
0
0
8.04
7.93
7.62
6.82
6.97
7.28
10.82
12.01
12.29
11.38
10.51
9.91
9.91
9.6
9.29
9.29
9.6
9.91
9.91
10.51
10.51
9.91
9.29
8.67
8.35
7.84
7.62
7.42
7.22
6.97
6.82
6.77
6.71
6.71
6.48
6.29
6.09
5.89
5.72
5.61
5.44
5.38
5.32
6
6.97
7.28
7.28
6.97
6.57
6.23
6.91
7.28
7.67
7.73
7.42
7.02
6.63
6.14
6.09
6
6
0
6.71
6.71
7.02
7.42
7.36
7.22
6.91
6.48
6.23
5.95
5.8
6.48
8.35
8.98
9.29
8.35
7.67
7.16
7.08
7.73
8.35
8.98
8.67
8.67
8.04
7.62
7.48
7.16
6.91
6.57
6.23
6.09
6.37
6.14
5.89
5.44
5.1
4.96
5.04
4.96
4.87
4.67
4.28
3.94
3.99
3.88
3.79
3.43
3.88
3.57
3.31
3.14
3.09
2.97
2.75
2.66
2.49
2.55
2.55
2.49
2.66
0
2.44
2.29
2.29
2.24
2.35
2.8
2.69
2.61
2.44
2.44
2.15
2.15
2.21
2.24
2.29
2.01
2.01
1.7
2.01
1.9
1.84
1.81
1.84
2.1
1.47
1.98
1.98
1.76
1.61
2.46
2.24
2.35
2.15
1.93
1.9
1.61
1.5
1.64
1.25
1.61
1.64
1.47
1.76
1.67
2.61
3.14
2.8
2.55
2.24
1.76
1.76
1.39
1.47
1.87
1.47
1.22
1.36
1.05
1.02
1.16
1.47
1.22
1.27
1.25
1.08
1.02
1.05
1.08
1.5
1.53
1.27
1.1
1.05
0.99
0.91
0.93
0.99
1.08
1.3
1.02
0.99
0.93
1.02
1.27
0.88
0.91
1.02
0.82
0.96
0.96
1.08
0.96
0
0.99
1.02
0.82
1.19
0.91
0.91
0.96
0.91
0.96
0.82
0.88
1.02
0.99
0.96
0.88
1.61
1.76
1.84
1.47
1.67
1.25
1.42
1.13
1.08
1.56
1.19
2.86
3.48
3.74
3.37
2.97
2.55
2.21
2.35
2.46
2.12
2.04
1.93
2.35
2.61
3.17
3.11
3.68
3.09
2.86
2.69
2.41
2.41
2.29
2.18
1.93
1.78
2.29
2.12
2.32
1.98
2.52
1.98
2.07
2.29
1.87
0
1.9
1.9
1.84
1.59
1.76
2.07
2.04
2.07
2.12
2.01
1.67
1.56
1.9
1.53
1.44
1.5
1.3
1.16
1.39
1.67
1.39
1.42
1.39
1.27
1.08
1.27
2.24
1.95
1.9
1.67
1.64
1.3
1.53
1.76
2.12
2.24
4.05
5.66
5.1
4.47
3.74
2.94
2.66
2.69
2.55
2.24
2.35
2.35
2.21
2.21
2.27
2.29
2.24
2.72
2.8
2.55
2.55
